StationCode,SampleDate,CollectionTime,CollectionDepth,UnitCollectionDepth,Analyte,Unit,Result,latitude,longitude,PositionWaterColumn,Huc12_name,Huc12_number
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Copper, Total",ug/L,1.3,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Nickel, Total",ug/L,0.79,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Allethrin, Total",ng/g dw,-0.5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Permethrin, cis-, Total",ng/g dw,-5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Phosphorus as P, Total",mg/L,0.022,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Fluvalinate, Total",ug/L,-0.002,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Demeton-O, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Fenchlorphos, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Merphos, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Parathion, Methyl, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Turbidity, Total",NTU,1.4,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Copper, Total",ug/L,1.3,33.398142,-117.26273,Not Applicable,NA,NA
